Director;Type;Characters;Genre;Location;Temporal collocation;Saga;Duration;First viewing;id;isChosen;gender;age;resp.id;ques;alt
Christopher Nolan;Animation film;Animals;Thriller;Europe;2022;No;2h;Cinema;1501;1;F;22;20;292;center
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;Mars;End of the 19th century;Yes;2h;Platforms;2734;0;F;22;20;292;right
Steven Spielberg;Live-action;Animals;Science-fiction;Mars;2022;No;1h 40min;Cinema;696;1;F;22;20;293;left
Christopher Nolan;Live-action;Humans;Science-fiction;United States of America;End of the 19th century;Yes;2h;Platforms;2596;0;F;22;20;293;center
Christopher Nolan;Animation film;Humans;Thriller;Japan;2022;Yes;2h;Cinema;1099;0;F;22;20;293;right
Christopher Nolan;Animation film;Humans;Science-fiction;Mars;End of the 19th century;No;1h 40min;Platforms;2269;0;F;22;20;294;left
Tim Burton;Live-action;Animals;Science-fiction;Japan;End of the 19th century;No;2h;Cinema;1379;0;F;22;20;294;center
Christopher Nolan;Live-action;Humans;Science-fiction;United States of America;2100;No;1h 40min;Cinema;724;1;F;22;20;294;right
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;No;1h 40min;Cinema;503;0;F;22;20;295;left
Steven Spielberg;Animation film;Animals;Thriller;Europe;2100;Yes;2h;Platforms;2943;0;F;22;20;295;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Japan;2100;No;2h;Cinema;1671;1;F;22;20;295;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;No;1h 40min;Cinema;520;0;F;22;20;296;left
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;2h;Cinema;878;0;F;22;20;296;center
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;No;2h;Platforms;3436;1;F;22;20;296;right
Christopher Nolan;Animation film;Humans;Thriller;Mars;End of the 19th century;Yes;1h 40min;Cinema;127;0;F;22;20;297;left
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;Yes;1h 40min;Cinema;432;1;F;22;20;297;center
Christopher Nolan;Animation film;Animals;Science-fiction;Japan;2100;No;1h 40min;Platforms;2527;0;F;22;20;297;right
Steven Spielberg;Live-action;Animals;Science-fiction;United States of America;2100;No;2h;Cinema;1596;0;F;22;20;298;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2100;No;2h;Cinema;1599;1;F;22;20;298;center
Christopher Nolan;Live-action;Humans;Science-fiction;Mars;2100;No;2h;Platforms;3424;0;F;22;20;298;right
Steven Spielberg;Live-action;Animals;Thriller;United States of America;2100;Yes;2h;Platforms;2910;1;F;22;20;299;left
Tim Burton;Animation film;Animals;Science-fiction;Mars;End of the 19th century;No;2h;Cinema;1412;0;F;22;20;299;center
Tim Burton;Live-action;Humans;Science-fiction;Europe;2100;No;1h 40min;Platforms;2489;0;F;22;20;299;right
Christopher Nolan;Live-action;Animals;Science-fiction;Mars;2100;No;2h;Cinema;1702;0;F;22;20;300;left
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Europe;2022;No;1h 40min;Platforms;2375;0;F;22;20;300;center
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;Yes;1h 40min;Platforms;1816;1;F;22;20;300;right
Steven Spielberg;Animation film;Animals;Thriller;Mars;2100;No;2h;Platforms;3447;0;M;23;21;301;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;No;1h 40min;Platforms;2265;1;M;23;21;301;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;2022;Yes;2h;Platforms;2847;0;M;23;21;301;right
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Japan;2022;Yes;2h;Platforms;2840;1;M;23;21;302;left
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Japan;2100;No;2h;Platforms;3402;0;M;23;21;302;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;Yes;1h 40min;Platforms;1800;0;M;23;21;302;right
Tim Burton;Live-action;Animals;Science-fiction;Mars;2100;No;2h;Platforms;3431;1;M;23;21;303;left
Christopher Nolan;Animation film;Humans;Thriller;Japan;2022;No;1h 40min;Platforms;2395;0;M;23;21;303;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;2022;Yes;1h 40min;Cinema;255;0;M;23;21;303;right
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Japan;2022;No;2h;Cinema;1543;1;M;23;21;304;left
Tim Burton;Animation film;Humans;Thriller;Mars;End of the 19th century;Yes;2h;Platforms;2720;0;M;23;21;304;center
Christopher Nolan;Live-action;Humans;Science-fiction;United States of America;2100;No;2h;Cinema;1588;0;M;23;21;304;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Europe;2100;No;2h;Platforms;3362;0;M;23;21;305;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;2h;Cinema;881;0;M;23;21;305;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2022;Yes;2h;Platforms;2859;1;M;23;21;305;right
Steven Spielberg;Animation film;Animals;Science-fiction;Europe;2100;Yes;1h 40min;Platforms;2061;0;M;23;21;306;left
Steven Spielberg;Live-action;Humans;Science-fiction;United States of America;2022;Yes;2h;Cinema;1014;1;M;23;21;306;center
Steven Spielberg;Live-action;Humans;Science-fiction;Mars;End of the 19th century;No;2h;Platforms;3138;0;M;23;21;306;right
Steven Spielberg;Animation film;Animals;Science-fiction;Mars;2100;Yes;1h 40min;Platforms;2133;1;M;23;21;307;left
Steven Spielberg;Live-action;Animals;Science-fiction;United States of America;2022;No;1h 40min;Cinema;588;0;M;23;21;307;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2022;Yes;1h 40min;Cinema;265;0;M;23;21;307;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2022;No;2h;Cinema;1457;0;M;23;21;308;left
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;Europe;2022;Yes;2h;Platforms;2806;0;M;23;21;308;center
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2022;No;2h;Platforms;3185;1;M;23;21;308;right
Steven Spielberg;Animation film;Animals;Thriller;Europe;End of the 19th century;Yes;1h 40min;Platforms;1791;1;M;23;21;309;left
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Japan;2022;No;1h 40min;Platforms;2411;0;M;23;21;309;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;2100;No;2h;Cinema;1653;0;M;23;21;309;right
Tim Burton;Animation film;Animals;Thriller;United States of America;End of the 19th century;Yes;1h 40min;Cinema;26;0;M;23;21;310;left
Christopher Nolan;Live-action;Humans;Science-fiction;United States of America;End of the 19th century;No;1h 40min;Platforms;2164;1;M;23;21;310;center
Steven Spielberg;Live-action;Animals;Thriller;Europe;2100;No;2h;Cinema;1650;0;M;23;21;310;right
Tim Burton;Animation film;Animals;Thriller;Mars;End of the 19th century;Yes;1h 40min;Platforms;1862;1;M;23;21;311;left
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Japan;2022;No;1h 40min;Platforms;2390;0;M;23;21;311;center
Tim Burton;Live-action;Animals;Thriller;Mars;2100;No;2h;Platforms;3449;0;M;23;21;311;right
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;End of the 19th century;No;2h;Cinema;1407;1;M;23;21;312;left
Christopher Nolan;Live-action;Animals;Science-fiction;Mars;2100;Yes;2h;Platforms;2998;0;M;23;21;312;center
Christopher Nolan;Animation film;Animals;Science-fiction;Mars;End of the 19th century;No;2h;Cinema;1411;0;M;23;21;312;right
Tim Burton;Animation film;Animals;Science-fiction;Europe;2100;Yes;1h 40min;Platforms;2060;1;M;23;21;313;left
Christopher Nolan;Live-action;Humans;Science-fiction;Japan;2022;No;2h;Platforms;3244;0;M;23;21;313;center
Christopher Nolan;Live-action;Humans;Thriller;Mars;2100;Yes;1h 40min;Platforms;2146;0;M;23;21;313;right
Christopher Nolan;Animation film;Animals;Science-fiction;United States of America;2100;No;2h;Platforms;3319;1;M;23;21;314;left
Christopher Nolan;Animation film;Humans;Thriller;Japan;2100;Yes;2h;Platforms;2971;0;M;23;21;314;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;2100;No;2h;Platforms;3423;0;M;23;21;314;right
Steven Spielberg;Live-action;Humans;Thriller;United States of America;End of the 19th century;No;1h 40min;Cinema;456;0;M;23;21;315;left
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Europe;2022;No;2h;Cinema;1490;1;M;23;21;315;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;No;1h 40min;Platforms;2247;0;M;23;21;315;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Japan;2022;No;2h;Cinema;1545;1;M;21;22;316;left
Steven Spielberg;Live-action;Humans;Thriller;Japan;2100;Yes;2h;Cinema;1248;0;M;21;22;316;center
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Mars;2100;Yes;2h;Cinema;1292;0;M;21;22;316;right
Christopher Nolan;Live-action;Humans;Science-fiction;Japan;2022;No;2h;Platforms;3244;1;M;21;22;317;left
Tim Burton;Live-action;Animals;Thriller;United States of America;End of the 19th century;No;1h 40min;Cinema;461;0;M;21;22;317;center
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;Mars;2022;No;1h 40min;Cinema;718;0;M;21;22;317;right
Steven Spielberg;Animation film;Humans;Thriller;Japan;End of the 19th century;No;2h;Cinema;1389;0;M;21;22;318;left
Tim Burton;Animation film;Humans;Science-fiction;Europe;End of the 19th century;No;2h;Cinema;1334;0;M;21;22;318;center
Christopher Nolan;Animation film;Humans;Science-fiction;United States of America;End of the 19th century;Yes;1h 40min;Platforms;1729;1;M;21;22;318;right
Christopher Nolan;Animation film;Animals;Science-fiction;Mars;End of the 19th century;No;1h 40min;Cinema;547;0;M;21;22;319;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;2100;No;2h;Platforms;3381;1;M;21;22;319;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Platforms;1777;0;M;21;22;319;right
Christopher Nolan;Animation film;Humans;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Cinema;37;0;M;21;22;320;left
Steven Spielberg;Live-action;Humans;Science-fiction;Japan;2022;No;2h;Platforms;3246;1;M;21;22;320;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;1h 40min;Platforms;1746;0;M;21;22;320;right
Steven Spielberg;Live-action;Humans;Thriller;Mars;2100;No;1h 40min;Platforms;2580;0;M;21;22;321;left
Steven Spielberg;Animation film;Animals;Thriller;Europe;End of the 19th century;No;1h 40min;Cinema;495;0;M;21;22;321;center
Christopher Nolan;Live-action;Humans;Thriller;Europe;2100;Yes;2h;Cinema;1210;1;M;21;22;321;right
Steven Spielberg;Animation film;Humans;Thriller;Mars;2022;No;2h;Platforms;3297;0;M;21;22;322;left
Christopher Nolan;Animation film;Animals;Science-fiction;United States of America;2022;No;1h 40min;Cinema;583;1;M;21;22;322;center
Christopher Nolan;Live-action;Animals;Science-fiction;Japan;2100;No;1h 40min;Cinema;802;0;M;21;22;322;right
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;No;2h;Cinema;1364;0;M;21;22;323;left
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;United States of America;2022;Yes;2h;Platforms;2767;0;M;21;22;323;center
Steven Spielberg;Live-action;Animals;Science-fiction;Japan;2022;Yes;2h;Cinema;1092;1;M;21;22;323;right
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Mars;2022;Yes;2h;Cinema;1148;0;M;21;22;324;left
Tim Burton;Live-action;Humans;Thriller;United States of America;End of the 19th century;No;2h;Platforms;3047;0;M;21;22;324;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2100;No;1h 40min;Cinema;738;1;M;21;22;324;right
Christopher Nolan;Live-action;Humans;Science-fiction;Mars;End of the 19th century;Yes;2h;Cinema;976;0;M;21;22;325;left
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2100;No;2h;Platforms;3328;1;M;21;22;325;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2100;No;2h;Cinema;1599;0;M;21;22;325;right
Tim Burton;Live-action;Humans;Thriller;Mars;End of the 19th century;Yes;2h;Cinema;995;0;M;21;22;326;left
Christopher Nolan;Animation film;Humans;Thriller;Japan;2022;Yes;2h;Platforms;2827;0;M;21;22;326;center
Tim Burton;Live-action;Humans;Science-fiction;United States of America;2100;No;2h;Cinema;1589;1;M;21;22;326;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;Yes;2h;Cinema;950;0;M;21;22;327;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2100;Yes;1h 40min;Platforms;2069;0;M;21;22;327;center
Christopher Nolan;Animation film;Humans;Science-fiction;United States of America;2100;Yes;1h 40min;Platforms;2017;1;M;21;22;327;right
Steven Spielberg;Live-action;Animals;Science-fiction;Japan;2022;No;2h;Platforms;3252;0;M;21;22;328;left
Steven Spielberg;Live-action;Animals;Thriller;United States of America;End of the 19th century;Yes;2h;Cinema;894;0;M;21;22;328;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;Yes;1h 40min;Cinema;69;1;M;21;22;328;right
Christopher Nolan;Animation film;Humans;Science-fiction;United States of America;2100;Yes;2h;Cinema;1153;1;M;21;22;329;left
Tim Burton;Animation film;Animals;Science-fiction;Japan;End of the 19th century;No;1h 40min;Platforms;2240;0;M;21;22;329;center
Steven Spielberg;Live-action;Humans;Science-fiction;Japan;2100;No;2h;Cinema;1662;0;M;21;22;329;right
Christopher Nolan;Animation film;Animals;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Platforms;1771;0;M;21;22;330;left
Tim Burton;Animation film;Animals;Thriller;Mars;2100;No;1h 40min;Platforms;2582;0;M;21;22;330;center
Christopher Nolan;Animation film;Humans;Thriller;Japan;2022;Yes;2h;Cinema;1099;1;M;21;22;330;right
Tim Burton;Animation film;Animals;Thriller;Japan;2100;Yes;2h;Cinema;1250;0;M;22;23;331;left
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;No;1h 40min;Platforms;2591;0;M;22;23;331;center
Tim Burton;Live-action;Animals;Science-fiction;Mars;2100;No;2h;Platforms;3431;1;M;22;23;331;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;United States of America;End of the 19th century;No;2h;Cinema;1329;0;M;22;23;332;left
Tim Burton;Animation film;Humans;Science-fiction;Japan;2022;No;1h 40min;Cinema;650;1;M;22;23;332;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;Yes;1h 40min;Platforms;2142;0;M;22;23;332;right
Christopher Nolan;Animation film;Animals;Thriller;United States of America;End of the 19th century;No;2h;Platforms;3049;0;M;22;23;333;left
Christopher Nolan;Live-action;Animals;Thriller;Mars;2100;No;2h;Cinema;1720;0;M;22;23;333;center
Christopher Nolan;Live-action;Animals;Science-fiction;United States of America;2022;Yes;1h 40min;Cinema;154;1;M;22;23;333;right
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;End of the 19th century;Yes;1h 40min;Platforms;1839;0;M;22;23;334;left
Christopher Nolan;Live-action;Humans;Science-fiction;Japan;2022;Yes;2h;Platforms;2812;1;M;22;23;334;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;Yes;1h 40min;Cinema;69;0;M;22;23;334;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;United States of America;2022;No;2h;Cinema;1473;1;M;22;23;335;left
Tim Burton;Live-action;Animals;Science-fiction;Europe;End of the 19th century;No;2h;Cinema;1343;0;M;22;23;335;center
Christopher Nolan;Animation film;Humans;Science-fiction;Japan;End of the 19th century;Yes;1h 40min;Platforms;1801;0;M;22;23;335;right
Tim Burton;Animation film;Animals;Thriller;Japan;End of the 19th century;Yes;1h 40min;Platforms;1826;0;M;22;23;336;left
Tim Burton;Live-action;Animals;Thriller;Japan;2022;No;2h;Cinema;1541;1;M;22;23;336;center
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;No;2h;Platforms;3038;0;M;22;23;336;right
Tim Burton;Animation film;Animals;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Cinema;44;1;M;22;23;337;left
Steven Spielberg;Animation film;Animals;Science-fiction;United States of America;2100;No;1h 40min;Platforms;2457;0;M;22;23;337;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Japan;2100;No;1h 40min;Platforms;2538;0;M;22;23;337;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Japan;2022;Yes;2h;Platforms;2825;1;M;22;23;338;left
Steven Spielberg;Live-action;Animals;Thriller;Japan;2022;Yes;1h 40min;Platforms;1974;0;M;22;23;338;center
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Japan;2100;Yes;2h;Cinema;1256;0;M;22;23;338;right
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;No;2h;Cinema;1367;1;M;22;23;339;left
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Japan;2022;No;1h 40min;Cinema;679;0;M;22;23;339;center
Christopher Nolan;Animation film;Humans;Science-fiction;Japan;2022;Yes;1h 40min;Platforms;1945;0;M;22;23;339;right
Christopher Nolan;Live-action;Humans;Thriller;United States of America;2022;No;1h 40min;Platforms;2326;0;M;22;23;340;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;No;1h 40min;Platforms;2357;1;M;22;23;340;center
Christopher Nolan;Animation film;Humans;Thriller;Japan;End of the 19th century;No;2h;Cinema;1387;0;M;22;23;340;right
Tim Burton;Live-action;Animals;Thriller;Europe;2100;Yes;1h 40min;Platforms;2081;0;M;22;23;341;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;Yes;2h;Platforms;2789;1;M;22;23;341;center
Tim Burton;Live-action;Animals;Thriller;Mars;2100;No;1h 40min;Platforms;2585;0;M;22;23;341;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2022;Yes;2h;Platforms;2858;0;M;22;23;342;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2100;Yes;1h 40min;Cinema;429;1;M;22;23;342;center
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;No;2h;Cinema;1403;0;M;22;23;342;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2022;No;1h 40min;Platforms;2445;0;M;22;23;343;left
Tim Burton;Animation film;Humans;Thriller;Europe;2100;Yes;2h;Cinema;1208;1;M;22;23;343;center
Tim Burton;Live-action;Humans;Thriller;Mars;2022;No;1h 40min;Cinema;707;0;M;22;23;343;right
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;Yes;1h 40min;Cinema;432;0;M;22;23;344;left
Christopher Nolan;Live-action;Humans;Thriller;United States of America;2022;Yes;1h 40min;Platforms;1894;1;M;22;23;344;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;2100;No;1h 40min;Cinema;831;0;M;22;23;344;right
Christopher Nolan;Live-action;Humans;Thriller;Mars;2100;Yes;2h;Platforms;3010;1;M;22;23;345;left
Christopher Nolan;Live-action;Animals;Thriller;Japan;2100;Yes;2h;Cinema;1252;0;M;22;23;345;center
Steven Spielberg;Animation film;Animals;Science-fiction;United States of America;2022;No;1h 40min;Platforms;2313;0;M;22;23;345;right
Tim Burton;Animation film;Animals;Thriller;Japan;2100;Yes;2h;Cinema;1250;0;M;22;24;346;left
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;No;1h 40min;Platforms;2591;0;M;22;24;346;center
Tim Burton;Live-action;Animals;Science-fiction;Mars;2100;No;2h;Platforms;3431;1;M;22;24;346;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;United States of America;End of the 19th century;No;2h;Cinema;1329;0;M;22;24;347;left
Tim Burton;Animation film;Humans;Science-fiction;Japan;2022;No;1h 40min;Cinema;650;1;M;22;24;347;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;Yes;1h 40min;Platforms;2142;0;M;22;24;347;right
Christopher Nolan;Animation film;Animals;Thriller;United States of America;End of the 19th century;No;2h;Platforms;3049;0;M;22;24;348;left
Christopher Nolan;Live-action;Animals;Thriller;Mars;2100;No;2h;Cinema;1720;0;M;22;24;348;center
Christopher Nolan;Live-action;Animals;Science-fiction;United States of America;2022;Yes;1h 40min;Cinema;154;1;M;22;24;348;right
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;End of the 19th century;Yes;1h 40min;Platforms;1839;0;M;22;24;349;left
Christopher Nolan;Live-action;Humans;Science-fiction;Japan;2022;Yes;2h;Platforms;2812;1;M;22;24;349;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;Yes;1h 40min;Cinema;69;0;M;22;24;349;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;United States of America;2022;No;2h;Cinema;1473;1;M;22;24;350;left
Tim Burton;Live-action;Animals;Science-fiction;Europe;End of the 19th century;No;2h;Cinema;1343;0;M;22;24;350;center
Christopher Nolan;Animation film;Humans;Science-fiction;Japan;End of the 19th century;Yes;1h 40min;Platforms;1801;0;M;22;24;350;right
Tim Burton;Animation film;Animals;Thriller;Japan;End of the 19th century;Yes;1h 40min;Platforms;1826;0;M;22;24;351;left
Tim Burton;Live-action;Animals;Thriller;Japan;2022;No;2h;Cinema;1541;1;M;22;24;351;center
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;No;2h;Platforms;3038;0;M;22;24;351;right
Tim Burton;Animation film;Animals;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Cinema;44;1;M;22;24;352;left
Steven Spielberg;Animation film;Animals;Science-fiction;United States of America;2100;No;1h 40min;Platforms;2457;0;M;22;24;352;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Japan;2100;No;1h 40min;Platforms;2538;0;M;22;24;352;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Japan;2022;Yes;2h;Platforms;2825;1;M;22;24;353;left
Steven Spielberg;Live-action;Animals;Thriller;Japan;2022;Yes;1h 40min;Platforms;1974;0;M;22;24;353;center
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Japan;2100;Yes;2h;Cinema;1256;0;M;22;24;353;right
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;No;2h;Cinema;1367;1;M;22;24;354;left
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Japan;2022;No;1h 40min;Cinema;679;0;M;22;24;354;center
Christopher Nolan;Animation film;Humans;Science-fiction;Japan;2022;Yes;1h 40min;Platforms;1945;0;M;22;24;354;right
Christopher Nolan;Live-action;Humans;Thriller;United States of America;2022;No;1h 40min;Platforms;2326;0;M;22;24;355;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;No;1h 40min;Platforms;2357;1;M;22;24;355;center
Christopher Nolan;Animation film;Humans;Thriller;Japan;End of the 19th century;No;2h;Cinema;1387;0;M;22;24;355;right
Tim Burton;Live-action;Animals;Thriller;Europe;2100;Yes;1h 40min;Platforms;2081;0;M;22;24;356;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;Yes;2h;Platforms;2789;1;M;22;24;356;center
Tim Burton;Live-action;Animals;Thriller;Mars;2100;No;1h 40min;Platforms;2585;0;M;22;24;356;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2022;Yes;2h;Platforms;2858;0;M;22;24;357;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2100;Yes;1h 40min;Cinema;429;1;M;22;24;357;center
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;No;2h;Cinema;1403;0;M;22;24;357;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2022;No;1h 40min;Platforms;2445;0;M;22;24;358;left
Tim Burton;Animation film;Humans;Thriller;Europe;2100;Yes;2h;Cinema;1208;1;M;22;24;358;center
Tim Burton;Live-action;Humans;Thriller;Mars;2022;No;1h 40min;Cinema;707;0;M;22;24;358;right
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;Yes;1h 40min;Cinema;432;0;M;22;24;359;left
Christopher Nolan;Live-action;Humans;Thriller;United States of America;2022;Yes;1h 40min;Platforms;1894;1;M;22;24;359;center
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;2100;No;1h 40min;Cinema;831;0;M;22;24;359;right
Christopher Nolan;Live-action;Humans;Thriller;Mars;2100;Yes;2h;Platforms;3010;1;M;22;24;360;left
Christopher Nolan;Live-action;Animals;Thriller;Japan;2100;Yes;2h;Cinema;1252;0;M;22;24;360;center
Steven Spielberg;Animation film;Animals;Science-fiction;United States of America;2022;No;1h 40min;Platforms;2313;0;M;22;24;360;right
Tim Burton;Animation film;Humans;Thriller;Mars;2022;Yes;2h;Platforms;2864;0;M;27;25;361;left
Steven Spielberg;Animation film;Animals;Science-fiction;United States of America;2100;Yes;1h 40min;Cinema;297;0;M;27;25;361;center
Christopher Nolan;Animation film;Animals;Thriller;Japan;End of the 19th century;Yes;2h;Platforms;2689;1;M;27;25;361;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;United States of America;End of the 19th century;No;1h 40min;Platforms;2194;1;M;27;25;362;left
Steven Spielberg;Animation film;Animals;Thriller;Japan;2100;No;1h 40min;Cinema;819;0;M;27;25;362;center
Steven Spielberg;Animation film;Animals;Thriller;Japan;End of the 19th century;Yes;1h 40min;Cinema;99;0;M;27;25;362;right
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Japan;2100;Yes;1h 40min;Cinema;396;1;M;27;25;363;left
Christopher Nolan;Live-action;Animals;Thriller;Japan;2100;No;1h 40min;Cinema;820;0;M;27;25;363;center
Tim Burton;Live-action;Animals;Science-fiction;Japan;2022;No;1h 40min;Cinema;659;0;M;27;25;363;right
Christopher Nolan;Animation film;Humans;Thriller;Mars;2022;No;1h 40min;Cinema;703;0;M;27;25;364;left
Steven Spielberg;Animation film;Humans;Science-fiction;Japan;2100;No;2h;Cinema;1659;0;M;27;25;364;center
Christopher Nolan;Live-action;Humans;Thriller;Japan;End of the 19th century;Yes;2h;Cinema;958;1;M;27;25;364;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;Japan;2022;No;1h 40min;Platforms;2410;1;M;27;25;365;left
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;United States of America;End of the 19th century;No;2h;Platforms;3056;0;M;27;25;365;center
Tim Burton;Live-action;Animals;Thriller;Europe;2100;No;2h;Platforms;3377;0;M;27;25;365;right
Steven Spielberg;Animation film;Humans;Science-fiction;United States of America;End of the 19th century;No;2h;Platforms;3027;0;M;27;25;366;left
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;United States of America;2100;No;2h;Platforms;3343;1;M;27;25;366;center
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2022;No;2h;Cinema;1457;0;M;27;25;366;right
